epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,13639.5,1.00624,1.40074,0.00792,0.81894,0.75812,0.82699,0.61856,0.92917,0.70057,0.01006,0.0278467,0.00928225,0.0278467,0.00928225,0.0278467,0.00928225,0.0278467,0.00928225
31,14089,1.0112,1.40855,0.00784,0.82143,0.78038,0.83756,0.60842,0.99183,0.68964,0.01258,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
32,14536.9,1.02169,1.39026,0.0079,0.83025,0.76534,0.8281,0.60816,0.96593,0.67432,0.01045,0.0276982,0.00923275,0.0276982,0.00923275,0.0276982,0.00923275,0.0276982,0.00923275
33,14983.6,0.99251,1.40564,0.00781,0.85549,0.76232,0.84586,0.61744,1.00763,0.68173,0.01384,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
34,15431.7,1.00226,1.38125,0.00774,0.82542,0.77703,0.85098,0.62142,0.97633,0.66694,0.01229,0.0275497,0.00918325,0.0275497,0.00918325,0.0275497,0.00918325,0.0275497,0.00918325
35,15877.9,0.98952,1.37537,0.00773,0.85546,0.76757,0.83742,0.62408,0.9426,0.672,0.01188,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
36,16326.9,0.99185,1.37605,0.00765,0.86276,0.74961,0.85001,0.63025,0.94637,0.67235,0.01086,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375
37,16775.2,0.98281,1.39407,0.00763,0.84242,0.78054,0.84486,0.62065,0.96344,0.69215,0.01298,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
38,17225.8,0.99101,1.36735,0.00754,0.81677,0.78515,0.84164,0.61885,0.94118,0.68063,0.01152,0.0272527,0.00908425,0.0272527,0.00908425,0.0272527,0.00908425,0.0272527,0.00908425
39,17675.7,0.99029,1.36867,0.0076,0.85148,0.79208,0.86192,0.64427,0.92878,0.6478,0.01074,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
40,18125.7,0.98825,1.38785,0.00765,0.8462,0.78078,0.84633,0.62711,0.95451,0.66871,0.01224,0.0271042,0.00903475,0.0271042,0.00903475,0.0271042,0.00903475,0.0271042,0.00903475
41,18577.4,0.98744,1.35708,0.0075,0.80584,0.79473,0.85355,0.64087,0.9347,0.65241,0.01057,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
42,19026.9,0.98707,1.37468,0.00755,0.80305,0.82034,0.85377,0.63306,0.93072,0.68034,0.01069,0.0269558,0.00898525,0.0269558,0.00898525,0.0269558,0.00898525,0.0269558,0.00898525
43,19478.6,0.98637,1.35839,0.00746,0.8795,0.7807,0.86545,0.63876,0.94353,0.66267,0.01217,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
44,19926.3,0.98479,1.34562,0.00747,0.84328,0.80313,0.86355,0.63943,0.92692,0.64786,0.01132,0.0268072,0.00893575,0.0268072,0.00893575,0.0268072,0.00893575,0.0268072,0.00893575
