epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,5562.33,1.07645,1.48472,0.00826,0.74629,0.68257,0.74895,0.54903,1.00848,0.82467,0.01042,0.0278467,0.00928225,0.0278467,0.00928225,0.0278467,0.00928225,0.0278467,0.00928225
31,5741.59,1.0673,1.50762,0.00815,0.7763,0.68827,0.76912,0.53826,1.09163,0.83232,0.01396,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
32,5922.06,1.08402,1.50975,0.00832,0.8014,0.676,0.76268,0.54806,1.05102,0.82314,0.00981,0.0276982,0.00923275,0.0276982,0.00923275,0.0276982,0.00923275,0.0276982,0.00923275
33,6101.99,1.06753,1.48909,0.00819,0.75978,0.72915,0.77569,0.55985,1.01839,0.78823,0.01129,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
34,6281.82,1.05982,1.47671,0.00818,0.76048,0.72502,0.77761,0.54875,1.07093,0.79069,0.01199,0.0275497,0.00918325,0.0275497,0.00918325,0.0275497,0.00918325,0.0275497,0.00918325
35,6461.25,1.07388,1.4742,0.00814,0.7789,0.68016,0.74945,0.52656,1.08558,0.82275,0.01286,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
36,6640.91,1.07217,1.48639,0.00808,0.75842,0.71345,0.77612,0.55616,1.06221,0.76455,0.01182,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375
37,6821.63,1.06684,1.4701,0.00808,0.71091,0.75495,0.77026,0.54687,1.04276,0.80437,0.01194,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
38,7002.28,1.06428,1.49283,0.00805,0.75984,0.70852,0.7646,0.54395,1.03191,0.77252,0.01109,0.0272527,0.00908425,0.0272527,0.00908425,0.0272527,0.00908425,0.0272527,0.00908425
39,7183.72,1.06901,1.45034,0.00797,0.77166,0.68016,0.77775,0.55198,1.02959,0.78128,0.01172,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
40,7362.98,1.05506,1.45035,0.00796,0.76787,0.70912,0.77148,0.54436,1.08122,0.84918,0.01474,0.0271042,0.00903475,0.0271042,0.00903475,0.0271042,0.00903475,0.0271042,0.00903475
41,7542.46,1.04986,1.43985,0.00781,0.77262,0.70955,0.77836,0.5596,1.03997,0.76748,0.01155,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
42,7722.69,1.05675,1.44103,0.00793,0.74594,0.72794,0.77626,0.55138,1.08151,0.76024,0.014,0.0269558,0.00898525,0.0269558,0.00898525,0.0269558,0.00898525,0.0269558,0.00898525
